code,lat,lon,date,method,region,title,nearest_facility,facility_distance_km,nearest_anomaly,anomaly_distance_km,url
+023+170,44,42.5,2018-05,MilOrb-small,Central Asia,Cassini Diskus - MilOrb +023+170,Dushanbe,2266.2,Kursk Magnetic Anomaly,933.4,https://forgottenlanguages-full.forgottenlanguages.org/2018/05/cassini-diskus-milorb-023170.html
+313+145,14.5,31.3,2018-05,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +313+145,Mecca,1185.9,Bangui Anomaly,1798.5,https://forgottenlanguages-full.forgottenlanguages.org/2018/05/cassini-diskus-milorb-313145.html
+024+132,45,33.0,2018-09,MilOrb-small,Central Asia,Cassini Diskus - MilOrb +024+132,Mecca,2694.3,Kursk Magnetic Anomaly,815.5,https://forgottenlanguages-full.forgottenlanguages.org/2018/09/cassini-diskus-milorb-024132.html
+166-205,-20.5,16.6,2018-09,MilOrb-large,Southern Africa,Cassini Diskus - MilOrb +166-205,Mecca,5301.7,SAA African Lobe,520.5,https://forgottenlanguages-full.forgottenlanguages.org/2018/09/cassini-diskus-milorb-166-205.html
+239-004,-0.4,23.9,2018-09,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +239-004,Mecca,2980.6,Bangui Anomaly,888.8,https://forgottenlanguages-full.forgottenlanguages.org/2018/09/cassini-diskus-milorb-239-004.html
-394-088,-8.8,-39.4,2019-03,MilOrb-large,South America,Cassini Diskus - -394-088 (LKP),Pantex Plant,8146.4,South Atlantic Anomaly,2358.2,https://forgottenlanguages-full.forgottenlanguages.org/2019/03/cassini-diskus-394-088-lkp.html
+055+221,76,55.25,2019-03,MilOrb-small,Arctic,Cassini Diskus - MilOrb +055+221,Dushanbe,4217.8,Kursk Magnetic Anomaly,2810.5,https://forgottenlanguages-full.forgottenlanguages.org/2019/03/cassini-diskus-milorb-055221.html
+234-102,-10.2,23.4,2019-03,MilOrb-large,Southern Africa,Cassini Diskus - MilOrb +234-102,Mecca,3948.2,SAA African Lobe,1741.7,https://forgottenlanguages-full.forgottenlanguages.org/2019/03/cassini-diskus-milorb-234-102.html
-694+407,40.7,-69.4,2019-03,MilOrb-large,North America,Cassini Diskus - MilOrb -694+407,Pantex Plant,2864.4,Bermuda Triangle,1752.1,https://forgottenlanguages-full.forgottenlanguages.org/2019/03/cassini-diskus-milorb-694407.html
-844+430,43.0,-84.4,2019-03,MilOrb-large,North America,Cassini Diskus - MilOrb -844+430,Pantex Plant,1704.2,Bermuda Triangle,2345.2,https://forgottenlanguages-full.forgottenlanguages.org/2019/03/cassini-diskus-milorb-844430.html
-844+404,40.4,-84.4,2020-03,MilOrb-large,North America,Cassini Diskus - MilOrb -844+404,Pantex Plant,1606.4,Bermuda Triangle,2116.9,https://forgottenlanguages-full.forgottenlanguages.org/2020/03/cassini-diskus-milorb-844404.html
+051+204,72,51.0,2020-10,MilOrb-small,Arctic,Cassini Diskus - MilOrb +051+204,Dushanbe,3849.6,Kursk Magnetic Anomaly,2352.5,https://forgottenlanguages-full.forgottenlanguages.org/2020/10/cassini-diskus-milorb-051204.html
+002+072,23,18.0,2022-04,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb +002+072 RTB Millired,Mecca,2251.9,Bangui Anomaly,2001.5,https://forgottenlanguages-full.forgottenlanguages.org/2022/04/cassini-diskus-milorb-002072-rtb.html
+308+406,40.6,30.8,2022-06,MilOrb-large,Central Asia,Cassini Diskus - MilOrb +308+406,Mecca,2295.5,Kursk Magnetic Anomaly,1336.4,https://forgottenlanguages-full.forgottenlanguages.org/2022/06/cassini-diskus-milorb-308406.html
+406+102,10.2,40.6,2022-06,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +406+102,Mecca,1251.4,Bangui Anomaly,2556.0,https://forgottenlanguages-full.forgottenlanguages.org/2022/06/cassini-diskus-milorb-406102.html
-055+221,-34,55.25,2023-05,MilOrb-small,Southern Africa,Cassini Diskus - MilOrb -055+221,Mecca,6376.1,SAA African Lobe,3719.0,https://forgottenlanguages-full.forgottenlanguages.org/2023/05/cassini-diskus-milorb-055221.html
+737-015,-1.5,73.7,2024-11,MilOrb-large,Ocean/Other,UAP and the militarization of natural phenomena: From overclassification to the absence of informati,Ghazni,3936.4,Bangui Anomaly,6229.1,https://forgottenlanguages-full.forgottenlanguages.org/2024/11/uap-and-militarization-of-natural.html
-032+244,-11,61.0,2025-08,MilOrb-small,Southern Africa,Cassini Diskus - MilOrb -032+244,Mecca,4283.3,SAA African Lobe,4782.0,https://forgottenlanguages-full.forgottenlanguages.org/2025/08/cassini-diskus-milorb-032244.html
